M1;M2;M3;M4;M5;M6;M8_Id;M8_ExternalId;M8_Value;M9_Id;M9_ExternalId;M9_Value;M10_Id;M10_ExternalId;M10_Value;M11_Id;M11_ExternalId;M11_Value;M12;M13_Id;M13_ExternalId;M13_Value;M14;M15_Id;M15_ExternalId;M15_Value;M16;M17_Id;M17_ExternalId;M17_Value;M18.1_Id;M18.1_ExternalId;M18.1_Value;M18.2_Id;M18.2_ExternalId;M18.2_Value;M18.3_Id;M18.3_ExternalId;M18.3_Value;M19.1_Id;M19.1_ExternalId;M19.1_Value;M19.2_Id;M19.2_ExternalId;M19.2_Value;M19.3_Id;M19.3_ExternalId;M19.3_Value;M20_Id;M20_ExternalId;M20_Value;M21_Id;M21_ExternalId;M21_Value;M22;M23;M24_Id;M24_ExternalId;M24_Value;M25;M26_Id;M26_ExternalId;M26_Value;M27_Id;M27_ExternalId;M27_Value;M28;M29_Id;M29_ExternalId;M29_Value;M30_Id;M30_ExternalId;M30_Value;M35;M36;M37;M38.1;M38.2;M39.1;M39.2;M39.3;M40;M41;M42;M43;M44;
0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;="Archives cantonales vaudoises (ACV)";="Chancellerie d'Etat - DIRH";="Canton Vaud";="3.0.0";="03.03.2022 22:09:22";="0.1.1";="";="";="Jessica Seger";="Jan Krause";="Delphine  Friedmann";="Jan Krause";="RA";
3;0;="D";="Direction";="";="Texte libre";42;="ACV";="Archives cantonales vaudoises";27;="PRESTATION";="Standard";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;0;="";="À définir";67;="ADMINISTRATIVE";="Administrative";="";="";="";="";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="PP";
7;3;="D.00";="Bases légales et règlementaires";="Elaboration des bases légales par l'entité administrative";="Texte libre";42;="ACV";="Archives cantonales vaudoises";27;="PRESTATION";="Standard";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;0;="";="À définir";5;="JURIDIQUE";="Juridique";="";="";="";="";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="PI";
37;7;="D.00.00";="Cadre légal et règlementaire";="Projet de loi/règlement au niveau VD. Dossier par projet d'élaboration. Nommage du dossier: Intitulé de la loi, et type. P.ex.: LARCH_revision_2025";="Texte libre";42;="ACV";="Archives cantonales vaudoises";301;="PROJET";="Projet";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";13;="5A";="5";208;="0A";="0";="5";="";5;="DERNIEREMODIFICATION";="A la dernière modification";True;11;="VERSEMENT";="Versement";5;="JURIDIQUE";="Juridique";="";="";="";="";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
12;7;="D.00.01";="Directives";="Elaboration et validation de directives ADMIN VD. Un dossier par directive. Dossier par projet d'élaboration. Nommage du dossier : Intitulé de la directive et type. P.ex.: DRUIDE_courriel_création_2021, DRUIDE_archivage_révision_2022";="Texte libre";42;="ACV";="Archives cantonales vaudoises";301;="PROJET";="Projet";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";13;="5A";="5";208;="0A";="0";="5";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;11;="VERSEMENT";="Versement";67;="ADMINISTRATIVE";="Administrative";="";="";="";="";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
1242;7;="D.00.02";="Procédures internes";="Elaboration et validation de procèdures internes aux ACV y compris ateliers (sauf procédures techniques). Un dossier projet par procédure.";="Texte libre";42;="ACV";="Archives cantonales vaudoises";301;="PROJET";="Projet";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";321;="20A";="20";208;="0A";="0";="20";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;10;="ELIMINATION";="Elimination";67;="ADMINISTRATIVE";="Administrative";="";="";="";="";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
16925;3;="D.01";="Stratégie";="Théme et année d'ouverture. Incluant la planification dans les grandes linges. Nommage dossier par thème stratégique et année d'ouverture. P.ex.: Politique_tarifaire_2021.";="Texte libre";42;="ACV";="Archives cantonales vaudoises";27;="PRESTATION";="Standard";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;1;="ECHANTILLONNAGE";="Échantillonnage";67;="ADMINISTRATIVE";="Administrative";="En fonction de l'intérêt du sujet.";172;="SELECTION";="Sélection";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
34505;3;="D.02";="Pilotage";="Pilotage de projets, au sens HERMES 5.1. Cela recouvre le financement, les conventions et les accords concernant le personnel ou les ressources engagées pour chaque projet. Liens vers les dossiers projets métier et conduite.";="Texte libre";42;="ACV";="Archives cantonales vaudoises";301;="PROJET";="Projet";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;1;="ECHANTILLONNAGE";="Échantillonnage";67;="ADMINISTRATIVE";="Administrative";="";172;="SELECTION";="Sélection";68;="PODIR";="Direction";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
34506;3;="D.03";="Conduite";="Par année / législature y compris programme de travail des auxiliaires. Y compris suivi des séances et répartition des responsablilités. Dossiers de conduite de projets. Sont génralement liés à des dossies dans la partie métier. Nommage du dosssier : Sujet et année. P.ex.: Archivistes_2021 , Restauration_2021, Secrétariat_2021. Dans les dossier, p.ex. documents de séances.";="Texte libre";42;="ACV";="Archives cantonales vaudoises";301;="PROJET";="Projet";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";2;="ORDINAIRE";="Délai de protection ordinaire";="";2;="NON";="Non";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;1;="ECHANTILLONNAGE";="Échantillonnage";67;="ADMINISTRATIVE";="Administrative";="Séances plénières = versement";172;="SELECTION";="Sélection";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="RU";
26281;3;="D.04";="Organisation";="";="Texte libre";42;="ACV";="Archives cantonales vaudoises";27;="PRESTATION";="Standard";8|9;="ANALOGIQUE|NUMERIQUE";="Analogique|Numérique PGA";80;="SPECIAL";="Délai de protection spécial";="";1;="OUI";="Oui";="";2;="NON";="Non";="";27;="INTERNE";="Interne";6;="1A";="1 an";24;="DERNIEREMODIFICATION";="Dernière modification";0;="";="À définir";0;="";="À définir";0;="";="À définir";0;="";="À définir";320;="10A";="10";208;="0A";="0";="10";="";5;="DERNIEREMODIFICATION";="A la dernière modification";False;1;="ECHANTILLONNAGE";="Échantillonnage";67;="ADMINISTRATIVE";="Administrative";="Séances plénières = versement";5;="1A10";="Une année sur 10 (finissant par 0)";83;="POTOUS";="Tous";-;-;-;-;-;-;-;-;-;-;-;-;="PI";
